"id","name","code","account_type","reconcile","name@ar"
"sa_coa_1200","Accounts Receivable","1200","asset_receivable","True","ذمم مدينة"
"sa_coa_1303","Letters of Guarantee","1303","asset_current","False","خطابات ضمان"
"sa_coa_1304","Letters of Credit","1304","asset_current","False","خطابات اعتماد"
"sa_coa_1401","Employees Loans","1401","asset_current","False","سلف موظفين"
"sa_coa_1402","VAT Receivables","1402","asset_current","False","ضريبة قيمة مضافة مدينة"
"sa_coa_1501","Inventory","1501","asset_current","False","المخزون"
"sa_coa_1502","Inventory Control - In","1502","asset_current","False","مراقبة المخزون - داخل"
"sa_coa_1503","Inventory Control - Out","1503","asset_current","False","مراقبة المخزون - خارج"
"sa_coa_1504","Work In Progress","1504","asset_current","False","مشاريع تحت التنفيذ"
"sa_coa_1601","Prepaid Rent","1601","asset_prepayments","False","ايجار مدفوع مقدما"
"sa_coa_1602","Prepaid Medical Insurance","1602","asset_prepayments","False","تأمين طبي مدفوع مقدما"
"sa_coa_1603","Prepaid Customs","1603","asset_prepayments","False","رسوم جمارك مدفوعة مقدما"
"sa_coa_1604","Prepaid Salary","1604","asset_prepayments","False","رواتب مدفوعة مقدما"
"sa_coa_1605","Prepaid Iqama","1605","asset_prepayments","False","رسوم اقامة مدفوعة مقدما"
"sa_coa_1701","Cars","1701","asset_fixed","False","السيارات"
"sa_coa_1702","Furnitures","1702","asset_fixed","False","اثاث مكتبي"
"sa_coa_1703","Computers","1703","asset_fixed","False","اجهزة حاسب"
"sa_coa_1801","Accum. Depr.Cars","1801","asset_fixed","False","مجمع اهلاك سيارات"
"sa_coa_1802","Accum. Depr.Furnitures","1802","asset_fixed","False","مجمع اهلاك اثاث مكتبي"
"sa_coa_1803","Accum. Depr.Computers","1803","asset_fixed","False","مجمع اهلاك اجهزة حاسب"
"sa_coa_2101","Accrued - Salaries","2101","liability_current","False","رواتب مستحقة"
"sa_coa_2102","Accrued - Iqama","2102","liability_current","False","مصاريف اقامة مستحقة"
"sa_coa_2103","Accrued - Audit Fees","2103","liability_current","False","مصاريف مراجعة مستحقة"
"sa_coa_2104","Accrued - Zakat","2104","liability_current","False","زكاة مستحقة"
"sa_coa_2200","VAT Payable","2200","liability_current","False","ضريبة قيمة مضافة دائنة"
"sa_coa_2300","Deferred Revenue","2300","liability_current","False","الايرادات المؤجلة"
"sa_coa_2400","Accounts Payable","2400","liability_payable","True","ذمم دائنة"
"sa_coa_2501","Provisions - End of Service","2501","liability_non_current","False","مخصص نهاية خدمة"
"sa_coa_2502","Provisions - Bad debts","2502","liability_non_current","False","مخصص ديون معدومة"
"sa_coa_3000","Capital","3000","equity","False","رأس المال"
"sa_coa_3300","Undistributed Profits/Losses","3300","equity_unaffected","False","ارباح غير موزعة"
"sa_coa_4000","Sales Revenue","4000","income","False","ايراد المبيعات"
"sa_coa_4201","Rent Income","4201","income_other","False","ايراد ايجار"
"sa_coa_5000","Cost of Goods Sold","5000","expense_direct_cost","False","تكلفة البضاعة المباعة"
"sa_coa_5201","Basic Salary","5201","expense","False","راتب اساسي"
"sa_coa_5202","Housing Allowance","5202","expense","False","بدل سكن"
"sa_coa_5203","Transportation Allowance","5203","expense","False","بدل انتقال"
"sa_coa_5204","GOSI ","5204","expense","False","تأمينات اجتماعية"
"sa_coa_5205","Iqama Renewal & Transfer","5205","expense","False","تجديد و نقل الاقامة"
"sa_coa_5303","Marketing Exp.","5303","expense","False","مصاريف تسويق"
"sa_coa_5304","Currency Exchange Differences","5304","expense","False","فروق تبديل عملة"
"sa_coa_5401","Gain / loss on sale of fixed assets","5401","expense","False","خسائر او مكاسب بيع اصول"
"sa_coa_5501","Zakat Expenses","5501","expense","False","مصاريف زكاة"
"sa_coa_5801","Depr.Cars","5801","expense_depreciation","False","اهلاك سيارات"
"sa_coa_5802","Depr.Furnitures","5802","expense_depreciation","False","اهلاك اثاث"
"sa_coa_5803","Depr.Computers","5803","expense_depreciation","False","اهلاك اجهزة حاسب"